Model,Source,MAPE,Samples
deepseek-r1-distill-llama-70b,Associated Press,3.83%,11
deepseek-r1-distill-llama-70b,Associated Press Finance,13.93%,42
deepseek-r1-distill-llama-70b,Automotive Dive,13.22%,7
deepseek-r1-distill-llama-70b,Banking Dive,5.43%,5
deepseek-r1-distill-llama-70b,Benzinga,5.55%,150
deepseek-r1-distill-llama-70b,Black Enterprise,2.18%,2
deepseek-r1-distill-llama-70b,Bloomberg,7.26%,46
deepseek-r1-distill-llama-70b,Business Insider,3.47%,21
deepseek-r1-distill-llama-70b,C-Store Dive,2.80%,12
deepseek-r1-distill-llama-70b,CFO.com,4.77%,5
deepseek-r1-distill-llama-70b,CoinDesk,9.01%,21
deepseek-r1-distill-llama-70b,Exec Edge,3.57%,17
deepseek-r1-distill-llama-70b,FX Empire,8.14%,12
deepseek-r1-distill-llama-70b,FastCompany,8.00%,1
deepseek-r1-distill-llama-70b,Footwear News,15.08%,3
deepseek-r1-distill-llama-70b,Fortune,8.41%,28
deepseek-r1-distill-llama-70b,Fox Business,1.55%,7
deepseek-r1-distill-llama-70b,FreightWaves,7.22%,23
deepseek-r1-distill-llama-70b,GOBankingRates,6.42%,11
deepseek-r1-distill-llama-70b,Grocery Dive,3.40%,7
deepseek-r1-distill-llama-70b,Healthcare Dive,20.92%,7
deepseek-r1-distill-llama-70b,IPO-Edge.com,8.24%,4
deepseek-r1-distill-llama-70b,Insider Monkey,5.01%,2264
deepseek-r1-distill-llama-70b,International Accounting Bulletin,5.49%,6
deepseek-r1-distill-llama-70b,Investing.com,5.78%,7
deepseek-r1-distill-llama-70b,Investopedia,4.03%,89
deepseek-r1-distill-llama-70b,Just Auto,1.21%,10
deepseek-r1-distill-llama-70b,Just Drinks,12.61%,11
deepseek-r1-distill-llama-70b,Just Food,1.85%,13
deepseek-r1-distill-llama-70b,LA Times,0.73%,2
deepseek-r1-distill-llama-70b,Leasing Life,0.67%,1
deepseek-r1-distill-llama-70b,Life Insurance International,1.40%,10
deepseek-r1-distill-llama-70b,MarketWatch,6.49%,11
deepseek-r1-distill-llama-70b,Medical Device Network,3.95%,1
deepseek-r1-distill-llama-70b,Mining Technology,10.21%,19
deepseek-r1-distill-llama-70b,Moneywise,3.05%,14
deepseek-r1-distill-llama-70b,Motley Fool,5.27%,532
deepseek-r1-distill-llama-70b,Offshore Technology,3.50%,7
deepseek-r1-distill-llama-70b,Oilprice.com,3.50%,1
deepseek-r1-distill-llama-70b,Packaging Gateway,2.46%,5
deepseek-r1-distill-llama-70b,Payments Dive,3.09%,4
deepseek-r1-distill-llama-70b,Private Banker International,0.76%,8
deepseek-r1-distill-llama-70b,Quartz,4.39%,23
deepseek-r1-distill-llama-70b,Retail Dive,2.64%,8
deepseek-r1-distill-llama-70b,Retail Insight Network,2.80%,14
deepseek-r1-distill-llama-70b,Reuters,6.22%,423
deepseek-r1-distill-llama-70b,Schaeffer's Investment Research,35.14%,4
deepseek-r1-distill-llama-70b,Sourcing Journal,1.80%,1
deepseek-r1-distill-llama-70b,The Guardian,4.65%,2
deepseek-r1-distill-llama-70b,TheStreet,5.60%,33
deepseek-r1-distill-llama-70b,TipRanks,6.87%,46
deepseek-r1-distill-llama-70b,USA TODAY,1.49%,9
deepseek-r1-distill-llama-70b,Verdict,5.88%,12
deepseek-r1-distill-llama-70b,WWD,9.15%,16
deepseek-r1-distill-llama-70b,World Construction Network,1.55%,3
deepseek-r1-distill-llama-70b,Yahoo Finance,4.85%,133
deepseek-r1-distill-llama-70b,Yahoo Personal Finance,5.45%,9
deepseek-r1-distill-llama-70b,etf.com,3.76%,28
deepseek/deepseek-chat:free,Benzinga,5.19%,23
deepseek/deepseek-chat:free,Exec Edge,5.66%,8
deepseek/deepseek-chat:free,Insider Monkey,6.72%,308
deepseek/deepseek-chat:free,Motley Fool,5.96%,34
deepseek/deepseek-chat:free,Reuters,3.31%,16
deepseek/deepseek-chat:free,TheStreet,13.40%,8
gemini-1.5-flash,Associated Press,1.22%,11
gemini-1.5-flash,Associated Press Finance,12.07%,43
gemini-1.5-flash,Automotive Dive,9.61%,7
gemini-1.5-flash,Banking Dive,6.37%,8
gemini-1.5-flash,Benzinga,5.34%,197
gemini-1.5-flash,Black Enterprise,0.92%,3
gemini-1.5-flash,Bloomberg,7.21%,54
gemini-1.5-flash,Business Insider,6.56%,28
gemini-1.5-flash,C-Store Dive,0.88%,8
gemini-1.5-flash,CFO.com,1.49%,6
gemini-1.5-flash,CoinDesk,7.19%,35
gemini-1.5-flash,Exec Edge,5.98%,12
gemini-1.5-flash,FX Empire,7.46%,12
gemini-1.5-flash,FastCompany,9.11%,1
gemini-1.5-flash,Footwear News,13.90%,3
gemini-1.5-flash,Fortune,9.02%,22
gemini-1.5-flash,Fox Business,2.99%,7
gemini-1.5-flash,FreightWaves,9.08%,33
gemini-1.5-flash,GOBankingRates,3.93%,12
gemini-1.5-flash,Grocery Dive,3.14%,7
gemini-1.5-flash,Healthcare Dive,15.30%,7
gemini-1.5-flash,IPO-Edge.com,9.61%,4
gemini-1.5-flash,Insider Monkey,5.37%,2272
gemini-1.5-flash,International Accounting Bulletin,1.62%,6
gemini-1.5-flash,Investing.com,11.68%,7
gemini-1.5-flash,Investopedia,5.38%,89
gemini-1.5-flash,Just Auto,8.74%,14
gemini-1.5-flash,Just Drinks,16.12%,11
gemini-1.5-flash,Just Food,2.03%,13
gemini-1.5-flash,LA Times,1.21%,1
gemini-1.5-flash,Leasing Life,1.03%,1
gemini-1.5-flash,Life Insurance International,1.05%,5
gemini-1.5-flash,MarketWatch,4.04%,6
gemini-1.5-flash,Medical Device Network,3.18%,1
gemini-1.5-flash,Mining Technology,3.82%,32
gemini-1.5-flash,Moneywise,1.22%,14
gemini-1.5-flash,Motley Fool,5.76%,560
gemini-1.5-flash,Offshore Technology,8.53%,4
gemini-1.5-flash,Packaging Gateway,3.22%,1
gemini-1.5-flash,Payments Dive,3.26%,4
gemini-1.5-flash,Power Technology,2.56%,2
gemini-1.5-flash,Private Banker International,2.16%,8
gemini-1.5-flash,Quartz,5.71%,24
gemini-1.5-flash,Retail Dive,9.75%,8
gemini-1.5-flash,Retail Insight Network,1.75%,15
gemini-1.5-flash,Reuters,5.60%,497
gemini-1.5-flash,Schaeffer's Investment Research,35.51%,4
gemini-1.5-flash,Sourcing Journal,2.25%,1
gemini-1.5-flash,The Guardian,4.78%,2
gemini-1.5-flash,TheStreet,4.50%,40
gemini-1.5-flash,TipRanks,6.22%,46
gemini-1.5-flash,USA TODAY,3.10%,13
gemini-1.5-flash,Verdict,5.67%,12
gemini-1.5-flash,Verdict Food Service,2.19%,2
gemini-1.5-flash,WWD,3.99%,9
gemini-1.5-flash,World Construction Network,2.20%,3
gemini-1.5-flash,Yahoo Finance,4.66%,149
gemini-1.5-flash,Yahoo Personal Finance,8.23%,30
gemini-1.5-flash,etf.com,2.22%,28
gemini-1.5-flash-8b,Associated Press,5.04%,4
gemini-1.5-flash-8b,Associated Press Finance,19.52%,29
gemini-1.5-flash-8b,Automotive Dive,13.48%,7
gemini-1.5-flash-8b,Benzinga,4.14%,126
gemini-1.5-flash-8b,Bloomberg,6.10%,37
gemini-1.5-flash-8b,Business Insider,5.94%,22
gemini-1.5-flash-8b,CoinDesk,3.80%,32
gemini-1.5-flash-8b,Exec Edge,3.83%,17
gemini-1.5-flash-8b,FX Empire,2.51%,12
gemini-1.5-flash-8b,FastCompany,7.45%,1
gemini-1.5-flash-8b,Footwear News,13.97%,3
gemini-1.5-flash-8b,Fortune,6.83%,20
gemini-1.5-flash-8b,Fox Business,0.55%,5
gemini-1.5-flash-8b,FreightWaves,10.17%,20
gemini-1.5-flash-8b,GOBankingRates,4.59%,7
gemini-1.5-flash-8b,Healthcare Dive,20.54%,7
gemini-1.5-flash-8b,IPO-Edge.com,8.60%,4
gemini-1.5-flash-8b,Insider Monkey,4.85%,2250
gemini-1.5-flash-8b,Investing.com,3.14%,7
gemini-1.5-flash-8b,Investopedia,4.91%,87
gemini-1.5-flash-8b,Just Auto,1.60%,8
gemini-1.5-flash-8b,Just Drinks,13.17%,11
gemini-1.5-flash-8b,Just Food,1.24%,5
gemini-1.5-flash-8b,Life Insurance International,11.61%,5
gemini-1.5-flash-8b,Medical Device Network,0.39%,1
gemini-1.5-flash-8b,Mining Technology,4.14%,20
gemini-1.5-flash-8b,Motley Fool,5.66%,488
gemini-1.5-flash-8b,Offshore Technology,0.60%,3
gemini-1.5-flash-8b,Packaging Gateway,1.37%,4
gemini-1.5-flash-8b,Power Technology,0.95%,2
gemini-1.5-flash-8b,Quartz,5.20%,18
gemini-1.5-flash-8b,Retail Insight Network,2.62%,19
gemini-1.5-flash-8b,Reuters,6.12%,286
gemini-1.5-flash-8b,Schaeffer's Investment Research,34.25%,4
gemini-1.5-flash-8b,TheStreet,6.86%,27
gemini-1.5-flash-8b,TipRanks,5.76%,45
gemini-1.5-flash-8b,USA TODAY,1.08%,3
gemini-1.5-flash-8b,Verdict,1.14%,2
gemini-1.5-flash-8b,WWD,3.03%,3
gemini-1.5-flash-8b,Yahoo Finance,5.20%,120
gemini-1.5-flash-8b,etf.com,2.62%,14
gemini-2.0-flash,Associated Press,4.09%,11
gemini-2.0-flash,Associated Press Finance,10.21%,56
gemini-2.0-flash,Automotive Dive,12.42%,7
gemini-2.0-flash,Automotive News,2.02%,6
gemini-2.0-flash,Banking Dive,6.99%,8
gemini-2.0-flash,Benzinga,4.24%,214
gemini-2.0-flash,Black Enterprise,0.85%,2
gemini-2.0-flash,Bloomberg,5.18%,65
gemini-2.0-flash,Business Insider,6.04%,29
gemini-2.0-flash,C-Store Dive,0.76%,12
gemini-2.0-flash,CFO.com,5.31%,6
gemini-2.0-flash,CoinDesk,6.62%,20
gemini-2.0-flash,Exec Edge,7.15%,12
gemini-2.0-flash,FX Empire,1.90%,12
gemini-2.0-flash,FastCompany,7.17%,1
gemini-2.0-flash,Footwear News,14.46%,3
gemini-2.0-flash,Fortune,8.85%,22
gemini-2.0-flash,Fox Business,0.54%,5
gemini-2.0-flash,FreightWaves,7.32%,37
gemini-2.0-flash,GOBankingRates,2.14%,51
gemini-2.0-flash,Grocery Dive,4.75%,7
gemini-2.0-flash,Healthcare Dive,20.71%,7
gemini-2.0-flash,IPO-Edge.com,9.44%,4
gemini-2.0-flash,Insider Monkey,5.04%,2240
gemini-2.0-flash,International Accounting Bulletin,4.07%,6
gemini-2.0-flash,Investing.com,3.75%,7
gemini-2.0-flash,Investopedia,4.64%,89
gemini-2.0-flash,Just Auto,2.03%,12
gemini-2.0-flash,Just Drinks,13.46%,11
gemini-2.0-flash,Just Food,2.93%,13
gemini-2.0-flash,LA Times,0.96%,1
gemini-2.0-flash,Life Insurance International,5.42%,12
gemini-2.0-flash,MarketWatch,3.18%,18
gemini-2.0-flash,Medical Device Network,0.53%,1
gemini-2.0-flash,Mining Technology,2.34%,27
gemini-2.0-flash,Moneywise,2.67%,34
gemini-2.0-flash,Motley Fool,5.67%,533
gemini-2.0-flash,Motor Finance,0.47%,3
gemini-2.0-flash,Offshore Technology,1.80%,6
gemini-2.0-flash,Oilprice.com,2.82%,1
gemini-2.0-flash,Payments Dive,3.48%,4
gemini-2.0-flash,Private Banker International,2.07%,16
gemini-2.0-flash,Quartz,4.25%,23
gemini-2.0-flash,Retail Dive,7.23%,8
gemini-2.0-flash,Retail Insight Network,2.16%,14
gemini-2.0-flash,Reuters,5.00%,534
gemini-2.0-flash,Schaeffer's Investment Research,34.65%,4
gemini-2.0-flash,Sourcing Journal,2.12%,1
gemini-2.0-flash,The Telegraph,1.19%,6
gemini-2.0-flash,TheStreet,5.05%,36
gemini-2.0-flash,TipRanks,6.42%,46
gemini-2.0-flash,USA TODAY,2.51%,13
gemini-2.0-flash,Verdict,7.46%,13
gemini-2.0-flash,WWD,4.41%,10
gemini-2.0-flash,World Construction Network,1.00%,3
gemini-2.0-flash,Yahoo Finance,4.44%,157
gemini-2.0-flash,Yahoo Personal Finance,4.21%,91
gemini-2.0-flash,etf.com,3.72%,29
gemini-2.0-flash-lite,Associated Press,3.37%,11
gemini-2.0-flash-lite,Associated Press Finance,12.24%,46
gemini-2.0-flash-lite,Automotive Dive,10.90%,7
gemini-2.0-flash-lite,Banking Dive,6.95%,8
gemini-2.0-flash-lite,Benzinga,4.32%,162
gemini-2.0-flash-lite,Bloomberg,7.25%,54
gemini-2.0-flash-lite,Business Insider,6.70%,22
gemini-2.0-flash-lite,C-Store Dive,1.01%,8
gemini-2.0-flash-lite,CoinDesk,7.58%,16
gemini-2.0-flash-lite,Exec Edge,5.18%,12
gemini-2.0-flash-lite,FX Empire,4.01%,12
gemini-2.0-flash-lite,FastCompany,8.57%,1
gemini-2.0-flash-lite,Footwear News,14.00%,3
gemini-2.0-flash-lite,Fortune,8.24%,20
gemini-2.0-flash-lite,Fox Business,1.63%,5
gemini-2.0-flash-lite,FreightWaves,7.48%,32
gemini-2.0-flash-lite,GOBankingRates,2.24%,16
gemini-2.0-flash-lite,Grocery Dive,3.22%,7
gemini-2.0-flash-lite,Healthcare Dive,20.13%,7
gemini-2.0-flash-lite,IPO-Edge.com,10.62%,4
gemini-2.0-flash-lite,Insider Monkey,4.91%,2273
gemini-2.0-flash-lite,Investing.com,3.01%,7
gemini-2.0-flash-lite,Investopedia,4.36%,94
gemini-2.0-flash-lite,Just Auto,0.84%,9
gemini-2.0-flash-lite,Just Drinks,13.65%,11
gemini-2.0-flash-lite,Just Food,2.66%,13
gemini-2.0-flash-lite,LA Times,0.96%,1
gemini-2.0-flash-lite,Life Insurance International,1.18%,5
gemini-2.0-flash-lite,MarketWatch,1.78%,6
gemini-2.0-flash-lite,Medical Device Network,0.84%,1
gemini-2.0-flash-lite,Mining Technology,2.10%,10
gemini-2.0-flash-lite,Moneywise,0.84%,2
gemini-2.0-flash-lite,Motley Fool,5.40%,533
gemini-2.0-flash-lite,Offshore Technology,0.81%,3
gemini-2.0-flash-lite,Oilprice.com,0.73%,1
gemini-2.0-flash-lite,Payments Dive,3.03%,4
gemini-2.0-flash-lite,Power Technology,0.75%,1
gemini-2.0-flash-lite,Private Banker International,2.26%,8
gemini-2.0-flash-lite,Quartz,4.87%,20
gemini-2.0-flash-lite,Retail Dive,9.12%,8
gemini-2.0-flash-lite,Retail Insight Network,2.95%,14
gemini-2.0-flash-lite,Reuters,5.63%,417
gemini-2.0-flash-lite,Schaeffer's Investment Research,34.97%,4
gemini-2.0-flash-lite,TheStreet,5.89%,43
gemini-2.0-flash-lite,TipRanks,6.51%,46
gemini-2.0-flash-lite,USA TODAY,1.40%,9
gemini-2.0-flash-lite,Verdict,1.35%,2
gemini-2.0-flash-lite,WWD,4.93%,8
gemini-2.0-flash-lite,World Construction Network,2.68%,3
gemini-2.0-flash-lite,Yahoo Finance,4.43%,133
gemini-2.0-flash-lite,Yahoo Personal Finance,5.64%,20
gemini-2.0-flash-lite,etf.com,4.09%,28
gemini-2.5-flash-preview-04-17,Associated Press,4.82%,11
gemini-2.5-flash-preview-04-17,Associated Press Finance,9.75%,41
gemini-2.5-flash-preview-04-17,Automotive Dive,13.79%,7
gemini-2.5-flash-preview-04-17,Banking Dive,4.70%,8
gemini-2.5-flash-preview-04-17,Benzinga,5.34%,138
gemini-2.5-flash-preview-04-17,Black Enterprise,0.35%,2
gemini-2.5-flash-preview-04-17,Bloomberg,5.46%,49
gemini-2.5-flash-preview-04-17,Business Insider,9.36%,20
